Name,ANSI_Alpha,ANSI_Num,What,ISO,USPS,USCG,GPO,AP,Other,,,
New Jersey ,NJ ,34,State ,US-NJ ,NJ ,NJ ,N.J. ,N.J. ,N.Jersey,,,
New Mexico ,NM ,35,State ,US-NM ,NM ,NM ,N. Mex. ,N.M. ,New M.,,,
New York ,NY ,36,State ,US-NY ,NY ,NY ,N.Y. ,N.Y. ,N. York,,,
North Carolina ,NC ,37,State ,US-NC ,NC ,NC ,N.C. ,N.C. ,N. Car.,,,
North Dakota ,ND ,38,State ,US-ND ,ND ,ND ,N. Dak. ,N.D. ,NoDak,,,
Ohio ,OH ,39,State ,US-OH ,OH ,OH ,Ohio ,Ohio ,"O., Oh.",,,
Oklahoma ,OK ,40,State ,US-OK ,OK ,OK ,Okla. ,Okla. ,Ok.,,,
Oregon ,OR ,41,State ,US-OR ,OR ,OR ,Oreg. ,Ore. ,Or.,,,
Pennsylvania ,PA ,42,State (Commonwealth) ,US-PA ,PA ,PA ,Pa. ,Pa. ,"Penn., Penna.",,,
Rhode Island ,RI ,44,State ,US-RI ,RI ,RI ,R.I. ,R.I. ,"R.I. & P.P., R. Isl.",,,
South Carolina ,SC ,45,State ,US-SC ,SC ,SC ,S.C. ,S.C. ,S. Car.,,,
South Dakota ,SD ,46,State ,US-SD ,SD ,SD ,S. Dak. ,S.D. ,SoDak,,,
Tennessee ,TN ,47,State ,US-TN ,TN ,TN ,Tenn. ,Tenn. ,,,,
Texas ,TX ,48,State ,US-TX ,TX ,TX ,Tex. ,Texas ,Tx.,,,
Utah ,UT ,49,State ,US-UT ,UT ,UT ,Utah ,Utah ,Ut.,,,
Vermont ,VT ,50,State ,US-VT ,VT ,VT ,Vt. ,Vt. ,,,,
Virginia ,VA ,51,State (Commonwealth) ,US-VA ,VA ,VA ,Va. ,Va. ,Virg.,,,
Washington ,WA ,53,State ,US-WA ,WA ,WN ,Wash. ,Wash. ,"Wa., Wn.[1]",,,
West Virginia ,WV ,54,State ,US-WV ,WV ,WV ,W. Va. ,W.Va. ,"W.V., W. Virg.",,,
Wisconsin ,WI ,55,State ,US-WI ,WI ,WS ,Wis. ,Wis. ,"Wi., Wisc.",,,
Wyoming ,WY ,56,State ,US-WY ,WY ,WY ,Wyo. ,Wyo. ,Wy.,,,
American Samoa ,ASM,16,Insular area (Territory) ,AS,US-AS ,AS ,60,AS ,AS ,A.S. ,,
Guam ,GUM,316,Insular area (Territory) ,GU,US-GU ,GU ,66,GU ,GU ,Guam ,,
Northern Mariana Islands ,MNP,580,Insular area (Commonwealth) ,MP,US-MP ,MP ,69,MP ,CM ,M.P. ,,CNMI[2]
Puerto Rico ,PRI,630,Insular area (Territory) ,PR,US-PR ,PR ,72,PR ,PR ,P.R. ,,
U.S. Virgin Islands ,VIR,850,Insular area (Territory) ,VI,US-VI ,VI ,78,VI ,VI ,V.I. ,,U.S.V.I.
U.S. Minor Outlying Islands ,UMI,581,Insular areas ,UM,US-UM ,UM ,74,,,,,
Baker Island ,,81,   island ,UM-81 ,,,,,XB[3],,,
Howland Island ,,84,   island ,UM-84 ,,,,,XH[3],,,
Jarvis Island ,,86,   island ,UM-86 ,,,,,XQ[3],,,
Johnston Atoll ,,67,   atoll ,UM-67 ,,,,,XU[3],,,
Kingman Reef ,,89,   atoll ,UM-89 ,,,,,XM[3],,,
Midway Islands ,,71,   atoll ,UM-71 ,,,,,QM[3],,,
Navassa Island ,,76,   island ,UM-76 ,,,,,XV[3],,,
Palmyra Atoll[c] ,,95,   atoll[c] ,UM-95 ,,,,,XL[3],,,
Wake Island ,,79,   atoll ,UM-79 ,,,,,QW[3],,,
Micronesia ,FSM,583,Freely associated state ,FM,FM ,64,FM ,,,,,
Marshall Islands ,MHL,584,Freely associated state ,MH,MH ,68,MH ,,,,,
Palau ,PLW,585,Freely associated state ,PW,PW ,70,PW ,,,,,
